Time,Pressure,Variac (v),,,,Temperatures,,,,,,,,,,,,Notes
,torr,E/W,Bot,Top,RGA,T1 tower gate,T2 Telescope South Top,T3 MOT core,T4 Ion Pump east,T5 1.33 gate valve,T6 Telescope North Bot,T7 1.33 window NorthEast,T8 RGA cold flange,T9 turbo pump angle valve,T10 Top window,11 Ion pump West,Average temp,
12:00,,20,8,24,20,32.43,,42.84,31.35,27.56,,34.9,32.81,,29.67,33.52,33.135,
12:20,2.00E-07,30,15,35,30,39.99,,,,,,,,,,,39.99,
12:44,1.20E-06,30,15,35,30,,,,,,,,,,,,,
13:07,2.40E-06,35,20,40,35,49.11,,63.88,47.78,37.58,,61.42,44.15,,51.05,47.91,50.36,
13:22,4.47E-06,35,20,40,35,54.68,,74.12,53.1,40.75,,70.94,46.9,,56.88,52.59,56.245,
13:42,7.45E-06,35,20,40,35,63,,81.15,60.26,45.38,,80.52,50.46,,65.03,59,63.1,
13:50,8.52E-06,30,15,35,30,66.38,,83.57,62.96,47.16,,83.45,51.7,,68.17,61.59,65.6225,
14:17,7.88E-06,30,15,35,30,72.89,,83,66.85,50.11,,75.69,52.35,,72.54,65.31,67.3425,
14:50,8.00E-06,30,15,35,30,78.86,,85.37,71.53,52.21,,72.33,52.46,,76.73,69.46,69.86875,
15:00,8.15E-06,30,15,33,30,80,,85.7,72.46,52.55,,77.48,52.5,,77.49,70.27,71.05625,
15:13,8.31E-06,30,15,33,30,81.12,,85.29,73.75,52.81,,71.39,52.55,,77.93,71.5,70.7925,RGA end covered with 3 layers of foil (15:16)
16:00,9.23E-06,28,15,32,28,84.1,,85.96,77.5,53.29,,70.33,59.6,,79.35,74.9,73.12875,
16:32,9.08E-06,28,15,32,28,84.2,60.6,83.4,78.1,52.8,46.5,69.4,61.8,50.73,78.4,75.7,67.42090909,
18:21,9.92E-06,28,15,32,28,83.65,,82.09,78.72,51.46,,68.88,64.4,,77.1,76.4,,
