vertical,E/W,N/S,twin leaf mag B,w1,w2,w3,w4,w5,mean width,std err
-0.94,0.028,-0.28,8.8,4.4,4.7,4.4,4.7,4.6,4.56,0.06782329983
-0.951,0.028,-0.28,,4.55,4.67,4.43,4.87,4.53,4.61,0.07536577473
-0.93,0.028,-0.28,,4.64,5.03,4.72,4.67,4.7,4.752,0.07080960387
-0.94,0.028,-0.28,,4.75,4.57,4.84,4.7,4.61,4.694,0.04843552415
-0.901,0.028,-0.28,,4.62,4.91,4.76,4.79,4.73,4.762,0.04684015371
-0.799,0.028,-0.28,,5,4.88,4.97,5.2,5.22,5.054,0.06675327707
-1.009,0.028,-0.28,,4.81,4.65,4.66,4.54,4.57,4.646,0.04696807426
-1.005,0.02,-0.28,,4.33,4.46,4.37,4.57,4.46,4.438,0.04164132563
-1.005,0.015,-0.28,,4.32,4.4,4.48,4.5,4.52,4.444,0.03709447398
-1.005,0.009,-0.28,,4.47,4.45,4.42,4.51,4.44,4.458,0.01529705854
-1.005,0,-0.28,,4.31,4.48,4.26,4.26,4.43,4.348,0.04532107677
-1.005,-0.009,-0.28,,4.32,4.34,4.48,4.26,4.44,4.368,0.04029888336
-1.005,-0.02,-0.28,,4.46,4.46,4.29,4.31,4.36,4.376,0.036138622
-1.005,-0.027,-0.28,,4.32,4.38,4.51,4.37,4.32,4.38,0.03478505426
-1.005,-0.034,-0.28,,4.44,4.31,4.56,4.58,4.43,4.464,0.04905099387
-1.005,-0.05,-0.28,,4.14,4.47,4.54,4.73,4.07,4.39,0.1243784547
-1.005,-0.075,-0.28,,4.85,5.09,4.74,4.67,4.64,4.798,0.08144937078
-1.005,0,-0.2,,4.36,4.36,4.44,4.42,4.6,4.436,0.044
-1.005,0,-0.24,,4.62,4.44,4.09,4.56,4.36,4.414,0.09282241109
-1.005,0,-0.26,,4.58,4.39,4.35,4.41,4.18,4.382,0.06398437309
-1.005,0,-0.27,,4.45,4.19,4.6,4.43,4.55,4.444,0.07082372484
-1.005,0,-0.28,,4.26,4.28,4.34,4.44,4.4,4.344,0.0342928564
-1.005,0,-0.35,,5.22,4.93,4.84,4.93,5.13,5.01,0.07078135348
-1,0,-0.27,,4.52,4.48,4.58,4.51,4.5,4.518,0.01685229955
-1.011,0,-0.27,,4.42,4.45,4.38,4.78,4.55,4.516,0.07173562574
-1.005,0,-0.27,,4.49,4.44,4.66,4.58,4.59,4.552,0.03891015292
-1.005,0,-0.27,,4.4,4.4,4.59,4.79,4.54,4.544,0.07215261603
-1.005,0,-0.26,10.097,4.41,4.41,4.36,4.55,4.19,4.384,0.05793099343
,,,,,,,,,#DIV/0!,#DIV/0!
,,,,,,,,,#DIV/0!,#DIV/0!
