Time,Ch1,Ch2,Ch3,Ch4
1758848060,21.73,21.44,21.28,21.35
1758848070,21.73,21.4,21.28,21.34
1758848080,21.72,21.34,21.27,21.31
1758848090,21.71,21.35,21.25,21.28
1758848100,21.71,21.34,21.24,21.27
1758848110,21.71,21.29,21.23,21.25
1758848120,21.71,21.24,21.22,21.24
1758848130,21.7,21.18,21.2,21.22
1758848140,21.7,21.17,21.2,21.2
1758848150,21.69,21.1,21.2,21.18
1758848160,21.68,21.02,21.2,21.16
1758848170,21.67,21,21.19,21.14
1758848180,21.66,21.01,21.19,21.13
1758848190,21.66,21.04,21.19,21.13
1758848200,21.65,21.07,21.19,21.13
1758848210,21.66,21.1,21.2,21.15
1758848220,21.66,21.08,21.21,21.14
1758848230,21.66,21.05,21.21,21.14
1758848240,21.65,21.04,21.21,21.14
1758848250,21.65,21.04,21.2,21.14
1758848260,21.65,21.08,21.19,21.14
1758848270,21.66,21.14,21.21,21.15
1758848280,21.66,21.21,21.21,21.16
1758848290,21.67,21.29,21.24,21.19
1758848300,21.68,21.36,21.26,21.21
1758848310,21.69,21.44,21.27,21.23
1758848320,21.69,21.49,21.28,21.24
1758848330,21.7,21.54,21.3,21.27
1758848340,21.7,21.58,21.31,21.28
1758848350,21.7,21.62,21.32,21.29
1758848360,21.71,21.64,21.33,21.3
1758848370,21.71,21.65,21.34,21.31
1758848380,21.72,21.67,21.35,21.32
1758848390,21.71,21.68,21.35,21.32
1758848400,21.71,21.71,21.36,21.32
1758848410,21.71,21.73,21.37,21.32
1758848420,21.72,21.7,21.37,21.33
1758848430,21.71,21.6,21.36,21.31
1758848440,21.7,21.56,21.34,21.29
1758848450,21.69,21.57,21.33,21.28
1758848460,21.68,21.54,21.32,21.26
1758848470,21.67,21.48,21.3,21.25
1758848480,21.67,21.43,21.28,21.23
1758848490,21.67,21.41,21.28,21.23
1758848500,21.67,21.35,21.27,21.21
1758848510,21.67,21.29,21.26,21.2
1758848520,21.64,21.23,21.24,21.17
1758848530,21.64,21.2,21.23,21.16
1758848540,21.64,21.18,21.23,21.16
1758848550,21.63,21.14,21.22,21.14
1758848560,21.62,21.1,21.22,21.13
1758848570,21.61,21.06,21.2,21.12
1758848580,21.62,21.06,21.18,21.12
1758848590,21.62,21.05,21.17,21.12
1758848600,21.62,21.05,21.17,21.11
1758848610,21.62,21.06,21.18,21.11
1758848620,21.63,21.07,21.19,21.12
1758848630,21.62,21.04,21.18,21.11
1758848640,21.61,21.03,21.18,21.11
1758848650,21.62,21.05,21.18,21.12
1758848660,21.62,21.03,21.17,21.11
1758848670,21.62,21.03,21.18,21.11
1758848680,21.61,21.02,21.17,21.09
1758848690,21.61,21.02,21.17,21.1
1758848700,21.61,21.02,21.17,21.1
1758848710,21.61,20.99,21.18,21.1
1758848720,21.6,20.96,21.16,21.09
1758848730,21.59,20.94,21.17,21.08
1758848740,21.59,20.94,21.15,21.07
1758848750,21.58,20.9,21.14,21.07
1758848760,21.58,20.91,21.13,21.07
1758848770,21.57,20.9,21.12,21.06
1758848780,21.57,20.91,21.13,21.06
1758848790,21.57,20.93,21.14,21.07
1758848800,21.58,20.9,21.14,21.07
1758848810,21.58,20.92,21.15,21.07
1758848820,21.57,20.92,21.13,21.06
1758848830,21.57,20.9,21.13,21.06
1758848840,21.57,20.89,21.13,21.06
1758848850,21.57,20.88,21.11,21.06
1758848860,21.57,20.86,21.12,21.06
1758848870,21.56,20.87,21.11,21.06
1758848880,21.55,20.84,21.11,21.05
1758848890,21.55,20.86,21.12,21.04
1758848900,21.55,20.94,21.14,21.06
1758848910,21.55,21.03,21.15,21.08
1758848920,21.56,21.12,21.18,21.11
1758848930,21.56,21.19,21.19,21.13
1758848940,21.57,21.24,21.2,21.14
1758848950,21.58,21.29,21.22,21.17
1758848960,21.6,21.35,21.24,21.19
1758848970,21.6,21.39,21.25,21.21
1758848980,21.6,21.44,21.26,21.22
1758848990,21.61,21.47,21.27,21.23
1758849000,21.61,21.5,21.28,21.24
1758849010,21.61,21.53,21.28,21.24
1758849020,21.59,21.53,21.28,21.24
1758849030,21.6,21.56,21.28,21.24
1758849040,21.6,21.57,21.29,21.25
1758849050,21.6,21.56,21.29,21.25
1758849060,21.6,21.49,21.27,21.23
1758849070,21.59,21.44,21.27,21.21
1758849080,21.58,21.45,21.27,21.2
1758849090,21.58,21.44,21.26,21.2
1758849100,21.58,21.41,21.26,21.2
1758849110,21.58,21.39,21.25,21.2
1758849120,21.57,21.39,21.25,21.19
1758849130,21.57,21.37,21.24,21.18
1758849140,21.57,21.34,21.23,21.17
1758849150,21.56,21.28,21.23,21.17
1758849160,21.56,21.24,21.22,21.17
1758849170,21.56,21.21,21.2,21.15
1758849180,21.55,21.16,21.18,21.14
1758849190,21.54,21.16,21.17,21.12
1758849200,21.54,21.14,21.16,21.12
1758849210,21.54,21.09,21.16,21.11
1758849220,21.55,21.04,21.16,21.1
1758849230,21.54,21.03,21.15,21.09
1758849240,21.53,20.99,21.14,21.08
1758849250,21.52,21,21.13,21.07
1758849260,21.52,21.01,21.13,21.07
1758849270,21.52,21.01,21.13,21.08
1758849280,21.53,20.98,21.13,21.08
1758849290,21.53,20.99,21.12,21.07
1758849300,21.53,20.98,21.12,21.08
1758849310,21.53,20.98,21.12,21.08
1758849320,21.52,20.95,21.12,21.07
1758849330,21.52,20.98,21.12,21.07
1758849340,21.51,21,21.12,21.07
1758849350,21.52,20.97,21.1,21.07
1758849360,21.51,20.94,21.1,21.06
1758849370,21.51,20.94,21.11,21.06
1758849380,21.52,20.97,21.13,21.07
1758849390,21.51,20.94,21.12,21.07
1758849400,21.51,20.98,21.12,21.07
1758849410,21.52,20.97,21.12,21.07
1758849420,21.51,20.95,21.1,21.05
1758849430,21.51,20.98,21.1,21.06
1758849440,21.52,20.97,21.09,21.06
1758849450,21.51,20.94,21.09,21.04
1758849460,21.5,20.89,21.1,21.04
1758849470,21.49,20.83,21.1,21.02
1758849480,21.49,20.8,21.09,21.01
1758849490,21.49,20.81,21.07,21.01
1758849500,21.48,20.86,21.08,21.01
1758849510,21.48,20.95,21.09,21.03
1758849520,21.49,21.04,21.11,21.05
1758849530,21.5,21.14,21.14,21.08
1758849540,21.51,21.21,21.16,21.1
1758849550,21.51,21.27,21.18,21.13
1758849560,21.51,21.31,21.18,21.14
1758849570,21.52,21.36,21.2,21.15
1758849580,21.53,21.4,21.21,21.17
1758849590,21.53,21.43,21.22,21.18
1758849600,21.55,21.44,21.24,21.2
1758849610,21.54,21.47,21.24,21.2
1758849620,21.54,21.49,21.25,21.21
1758849630,21.55,21.51,21.26,21.22
1758849640,21.55,21.53,21.27,21.22
1758849650,21.55,21.53,21.27,21.23
1758849660,21.55,21.5,21.26,21.22
1758849670,21.55,21.44,21.25,21.21
1758849680,21.53,21.42,21.24,21.19
1758849690,21.53,21.41,21.22,21.18
1758849700,21.53,21.4,21.21,21.17
1758849710,21.52,21.38,21.2,21.16
1758849720,21.52,21.35,21.2,21.15
1758849730,21.52,21.34,21.19,21.14
1758849740,21.52,21.28,21.19,21.13
1758849750,21.51,21.22,21.17,21.12
1758849760,21.51,21.19,21.16,21.11
1758849770,21.5,21.19,21.14,21.1
1758849780,21.51,21.16,21.13,21.09
1758849790,21.5,21.11,21.09,21.07
1758849800,21.49,21.06,21.07,21.05
1758849810,21.49,21.04,21.06,21.04
1758849820,21.48,21,21.06,21.04
1758849830,21.48,20.97,21.06,21.02
1758849840,21.48,20.94,21.06,21.02
1758849850,21.48,20.89,21.06,21.02
1758849860,21.47,20.89,21.06,21.01
1758849870,21.46,20.86,21.05,21
1758849880,21.45,20.84,21.04,20.99
1758849890,21.46,20.85,21.05,21
1758849900,21.46,20.84,21.05,21
1758849910,21.46,20.83,21.05,21
1758849920,21.46,20.83,21.04,20.99
1758849930,21.45,20.85,21.02,20.99
1758849940,21.46,20.85,21.02,20.99
1758849950,21.46,20.85,21.01,21
1758849960,21.45,20.81,21.02,20.99
1758849970,21.45,20.78,21.03,20.98
1758849980,21.44,20.76,21.02,20.98
1758849990,21.44,20.78,21.01,20.98
1758850000,21.44,20.78,21.01,20.97
1758850010,21.44,20.74,21.01,20.97
1758850020,21.44,20.72,20.99,20.96
1758850030,21.43,20.73,20.98,20.96
1758850040,21.42,20.72,20.97,20.95
1758850050,21.43,20.7,20.99,20.95
1758850060,21.43,20.71,20.99,20.95
1758850070,21.43,20.8,21.01,20.96
1758850080,21.43,20.87,21.03,20.97
1758850090,21.44,20.96,21.05,21
1758850100,21.45,21.05,21.08,21.03
1758850110,21.45,21.12,21.1,21.05
1758850120,21.45,21.18,21.12,21.07
