Optical Power Monitor,,,,,,,
6.5.5217.15,,,,,,,
Delimiter Used: , ',',,,,,
,,,,,,,
Start of Measurement , 9/29/2025 16:00:38,,,,,,
Sample Interval , 10 s,,,,,,
, PM100D 250207512, PM100D 14101752,,,,,
Type, PM100D, PM100D,,,,,
Serialnumber, P0037408, P0009211,,,,,
Sensor, S121C, S121C,,,,,
SensorSerialnumber,250207512,14101752,,,,,
Wavelength / Responsivity, 852 nm, 852 nm,,,,,
,,,,,,,
,,,PM100D 250207512, PM100D 250207512, PM100D 14101752, PM100D 14101752, 
Samples ,Date,Time,7512Power (W),7512Temperature (°C),1752Power (W),1752Temperature (°C),
0, 9/29/2025, 16:00:38.979,0.017328,21.985,0.033839,22.186,
1, 9/29/2025, 16:00:49.271,0.0173,21.983,0.033889,22.183,
2, 9/29/2025, 16:00:59.297,0.017301,21.991,0.033892,22.182,
3, 9/29/2025, 16:01:09.325,0.017287,21.988,0.033904,22.179,
4, 9/29/2025, 16:01:19.329,0.017296,21.988,0.033897,22.176,
5, 9/29/2025, 16:01:29.330,0.01729,21.997,0.0339,22.176,
6, 9/29/2025, 16:01:39.334,0.017298,22.002,0.033885,22.172,
7, 9/29/2025, 16:01:49.348,0.017305,22.002,0.033895,22.175,
8, 9/29/2025, 16:01:59.358,0.017294,22.002,0.033893,22.176,
9, 9/29/2025, 16:02:09.383,0.017295,22.005,0.033887,22.17,
10, 9/29/2025, 16:02:19.395,0.017301,22.005,0.033876,22.164,
11, 9/29/2025, 16:02:29.399,0.017307,22.007,0.033889,22.169,
12, 9/29/2025, 16:02:39.400,0.017301,22.01,0.033875,22.167,
13, 9/29/2025, 16:02:49.404,0.01729,22.009,0.033877,22.158,
14, 9/29/2025, 16:02:59.424,0.017294,22.008,0.033877,22.14,
15, 9/29/2025, 16:03:09.432,0.017289,22.015,0.03388,22.131,
16, 9/29/2025, 16:03:19.456,0.017289,22.021,0.033881,22.123,
17, 9/29/2025, 16:03:29.473,0.017301,22.014,0.033883,22.122,
18, 9/29/2025, 16:03:39.482,0.017298,22.022,0.033887,22.118,
19, 9/29/2025, 16:03:49.492,0.017304,22.03,0.03388,22.115,
20, 9/29/2025, 16:03:59.508,0.0173,22.02,0.033887,22.097,
21, 9/29/2025, 16:04:09.520,0.017299,22.023,0.033888,22.069,
22, 9/29/2025, 16:04:19.533,0.017301,22.022,0.033899,22.054,
23, 9/29/2025, 16:04:29.558,0.017286,22.024,0.033895,22.046,
24, 9/29/2025, 16:04:39.585,0.017299,22.033,0.033876,22.043,
25, 9/29/2025, 16:04:49.594,0.017298,22.023,0.033889,22.041,
26, 9/29/2025, 16:04:59.607,0.0173,22.021,0.033883,22.042,
27, 9/29/2025, 16:05:09.623,0.017296,22.024,0.033888,22.039,
28, 9/29/2025, 16:05:19.641,0.017297,22.018,0.033892,22.041,
29, 9/29/2025, 16:05:29.664,0.017308,22.018,0.033881,22.041,
30, 9/29/2025, 16:05:39.668,0.017304,22.017,0.033874,22.04,
31, 9/29/2025, 16:05:49.693,0.017303,22.027,0.033878,22.041,
32, 9/29/2025, 16:05:59.705,0.017307,22.025,0.033875,22.042,
33, 9/29/2025, 16:06:09.722,0.017314,22.018,0.033859,22.043,
34, 9/29/2025, 16:06:19.745,0.017301,22.022,0.033886,22.042,
35, 9/29/2025, 16:06:29.775,0.017298,22.025,0.03388,22.041,
36, 9/29/2025, 16:06:39.785,0.017303,22.033,0.033873,22.044,
37, 9/29/2025, 16:06:49.797,0.017304,22.021,0.033875,22.047,
38, 9/29/2025, 16:06:59.810,0.0173,22.031,0.033881,22.044,
39, 9/29/2025, 16:07:09.828,0.017297,22.03,0.033889,22.042,
40, 9/29/2025, 16:07:19.841,0.017307,22.03,0.033885,22.042,
41, 9/29/2025, 16:07:29.871,0.017297,22.037,0.033895,22.039,
42, 9/29/2025, 16:07:39.877,0.017294,22.042,0.033893,22.039,
43, 9/29/2025, 16:07:49.901,0.017297,22.034,0.033879,22.038,
44, 9/29/2025, 16:07:59.910,0.0173,22.03,0.033878,22.031,
45, 9/29/2025, 16:08:09.916,0.017307,22.04,0.033902,22.024,
46, 9/29/2025, 16:08:19.944,0.017304,22.04,0.033886,22.003,
47, 9/29/2025, 16:08:29.958,0.017304,22.03,0.0339,21.984,
48, 9/29/2025, 16:08:39.987,0.017304,22.027,0.033895,21.971,
49, 9/29/2025, 16:08:50.004,0.017294,22.027,0.033894,21.963,
50, 9/29/2025, 16:09:00.011,0.017292,22.028,0.03389,21.963,
51, 9/29/2025, 16:09:10.019,0.017304,22.021,0.033887,21.958,
52, 9/29/2025, 16:09:20.037,0.017302,22.022,0.033892,21.958,
53, 9/29/2025, 16:09:30.060,0.0173,22.025,0.033902,21.958,
54, 9/29/2025, 16:09:40.065,0.017306,22.024,0.033902,21.96,
55, 9/29/2025, 16:09:50.088,0.017302,22.027,0.033895,21.963,
56, 9/29/2025, 16:10:00.109,0.0173,22.023,0.033893,21.961,
57, 9/29/2025, 16:10:10.114,0.017306,22.02,0.033871,21.96,
58, 9/29/2025, 16:10:20.139,0.017312,22.021,0.033882,21.965,
