Time,Ch1,Ch2,Ch3,Ch4,Ch5
1759250236,20.23,21.01,20.35,20.82,19.86
1759250246,20.23,20.98,20.36,20.83,19.87
1759250256,20.22,20.97,20.36,20.83,19.86
1759250266,20.23,20.96,20.36,20.85,19.85
1759250276,20.23,20.99,20.36,20.87,19.85
1759250286,20.23,21.01,20.36,20.86,19.85
1759250296,20.24,21.05,20.4,20.91,19.86
1759250306,20.25,21.07,20.4,20.92,19.86
1759250316,20.25,21.06,20.4,20.92,19.86
1759250326,20.25,21.1,20.42,20.97,19.88
1759250336,20.26,21.15,20.44,20.99,19.89
1759250346,20.26,21.17,20.45,21,19.88
1759250356,20.26,21.19,20.46,21.02,19.89
1759250366,20.26,21.17,20.45,21.03,19.89
1759250376,20.26,21.17,20.46,21.04,19.88
1759250386,20.27,21.17,20.47,21.07,19.89
1759250396,20.27,21.2,20.48,21.09,19.9
1759250406,20.28,21.21,20.48,21.11,19.89
1759250416,20.28,21.21,20.5,21.15,19.9
1759250426,20.28,21.22,20.5,21.17,19.9
1759250436,20.29,21.25,20.51,21.19,19.91
1759250446,20.28,21.3,20.52,21.22,19.91
1759250456,20.29,21.32,20.54,21.25,19.91
1759250466,20.29,21.33,20.54,21.27,19.92
1759250476,20.29,21.34,20.55,21.3,19.91
1759250486,20.29,21.36,20.56,21.33,19.92
1759250496,20.31,21.38,20.58,21.37,19.93
1759250506,20.31,21.4,20.59,21.4,19.94
1759250516,20.31,21.41,20.59,21.43,19.93
1759250526,20.32,21.44,20.61,21.47,19.94
1759250536,20.32,21.44,20.62,21.5,19.94
1759250546,20.32,21.45,20.62,21.52,19.94
1759250556,20.33,21.48,20.65,21.56,19.96
1759250566,20.33,21.48,20.66,21.59,19.96
1759250576,20.34,21.49,20.67,21.63,19.97
1759250586,20.34,21.52,20.67,21.66,19.97
1759250596,20.34,21.51,20.68,21.7,19.97
1759250606,20.35,21.53,20.69,21.73,19.98
1759250616,20.35,21.58,20.7,21.77,19.99
1759250626,20.36,21.6,20.72,21.81,20
1759250636,20.36,21.61,20.72,21.85,20
1759250646,20.37,21.63,20.74,21.88,20.01
1759250656,20.37,21.64,20.75,21.91,20.02
1759250666,20.38,21.67,20.77,21.95,20.03
1759250676,20.38,21.7,20.78,21.97,20.03
1759250686,20.38,21.7,20.78,22,20.04
1759250696,20.38,21.72,20.79,22.04,20.04
1759250706,20.38,21.73,20.8,22.07,20.04
1759250716,20.39,21.73,20.8,22.1,20.04
1759250726,20.39,21.73,20.81,22.13,20.05
1759250736,20.39,21.74,20.81,22.16,20.05
1759250746,20.39,21.75,20.82,22.18,20.05
1759250756,20.4,21.77,20.84,22.22,20.06
1759250766,20.41,21.8,20.85,22.24,20.06
1759250776,20.41,21.79,20.84,22.27,20.06
1759250786,20.42,21.8,20.86,22.3,20.07
1759250796,20.42,21.81,20.88,22.34,20.09
1759250806,20.42,21.82,20.88,22.36,20.09
1759250816,20.42,21.79,20.88,22.38,20.09
1759250826,20.42,21.8,20.88,22.41,20.09
1759250836,20.42,21.83,20.89,22.44,20.09
1759250846,20.43,21.83,20.89,22.46,20.1
1759250856,20.43,21.84,20.89,22.48,20.09
1759250866,20.44,21.87,20.91,22.52,20.11
1759250876,20.43,21.91,20.92,22.54,20.11
1759250886,20.43,21.91,20.93,22.56,20.12
1759250896,20.44,21.89,20.94,22.59,20.12
1759250906,20.44,21.89,20.95,22.61,20.12
1759250916,20.44,21.91,20.95,22.63,20.13
1759250926,20.44,21.9,20.96,22.65,20.13
1759250936,20.45,21.91,20.97,22.68,20.15
1759250946,20.45,21.9,20.97,22.7,20.14
1759250956,20.45,21.9,20.98,22.72,20.15
1759250966,20.46,21.92,20.99,22.75,20.15
1759250976,20.46,21.94,20.99,22.76,20.15
1759250986,20.46,21.96,21,22.78,20.15
1759250996,20.46,21.96,21.01,22.8,20.15
1759251006,20.47,21.96,21.01,22.81,20.15
1759251016,20.48,21.96,21.02,22.85,20.16
1759251026,20.48,21.96,21.03,22.87,20.18
1759251036,20.48,21.96,21.04,22.89,20.18
1759251046,20.49,21.97,21.04,22.91,20.18
1759251056,20.49,21.99,21.04,22.93,20.18
1759251066,20.49,21.98,21.04,22.93,20.18
1759251076,20.49,21.97,21.05,22.96,20.17
1759251086,20.49,21.98,21.05,22.98,20.17
1759251096,20.48,22,21.05,22.99,20.18
1759251106,20.5,22.04,21.09,23.02,20.2
1759251116,20.5,22.03,21.09,23.04,20.2
1759251126,20.49,22.02,21.09,23.05,20.2
1759251136,20.51,22.04,21.11,23.08,20.22
1759251146,20.51,22.07,21.12,23.09,20.22
1759251156,20.51,22.05,21.12,23.1,20.22
1759251166,20.51,22.04,21.12,23.12,20.22
1759251176,20.51,22.06,21.12,23.13,20.22
1759251186,20.51,22.05,21.12,23.13,20.21
1759251196,20.52,22.07,21.14,23.17,20.23
1759251206,20.53,22.11,21.15,23.19,20.24
1759251216,20.53,22.1,21.15,23.2,20.24
1759251226,20.52,22.11,21.15,23.21,20.24
1759251236,20.53,22.1,21.16,23.24,20.24
1759251246,20.53,22.09,21.16,23.25,20.25
1759251256,20.53,22.08,21.17,23.26,20.25
1759251266,20.53,22.08,21.18,23.28,20.25
1759251276,20.54,22.09,21.18,23.29,20.26
1759251286,20.55,22.1,21.19,23.31,20.28
1759251296,20.55,22.11,21.19,23.33,20.28
1759251306,20.55,22.12,21.19,23.34,20.28
1759251316,20.56,22.11,21.2,23.36,20.29
1759251326,20.56,22.1,21.21,23.38,20.29
1759251336,20.57,22.11,21.21,23.39,20.29
1759251346,20.56,22.11,21.21,23.4,20.29
1759251356,20.57,22.13,21.21,23.41,20.3
1759251366,20.56,22.14,21.22,23.42,20.3
1759251376,20.57,22.16,21.24,23.44,20.31
1759251386,20.58,22.19,21.24,23.45,20.32
1759251396,20.58,22.2,21.25,23.47,20.33
