Time,Ch1,Ch2,Ch2,Ch4,Ch5
1759344349,19.71,19.92,19.69,20.55,19.18
1759344359,19.71,19.91,19.69,20.54,19.18
1759344369,19.71,19.83,19.67,20.54,19.17
1759344379,19.7,19.75,19.65,20.54,19.15
1759344389,19.7,19.75,19.65,20.55,19.15
1759344399,19.7,19.71,19.64,20.55,19.14
1759344409,19.69,19.62,19.61,20.55,19.11
1759344419,19.68,19.5,19.56,20.55,19.07
1759344429,19.67,19.41,19.51,20.55,19.04
1759344439,19.65,19.23,19.46,20.56,19.01
1759344449,19.64,19.06,19.38,20.56,18.96
1759344459,19.62,18.96,19.33,20.57,18.91
1759344469,19.61,18.93,19.31,20.57,18.89
1759344479,19.59,18.93,19.29,20.57,18.87
1759344489,19.59,18.89,19.28,20.58,18.85
1759344499,19.59,18.89,19.28,20.58,18.84
1759344509,19.57,18.87,19.27,20.57,18.83
1759344519,19.57,18.88,19.28,20.58,18.82
1759344529,19.57,18.91,19.28,20.58,18.83
1759344539,19.57,18.91,19.28,20.59,18.83
1759344549,19.58,18.93,19.29,20.6,18.84
1759344559,19.57,18.92,19.28,20.59,18.83
1759344569,19.57,18.92,19.27,20.59,18.84
1759344579,19.58,18.92,19.27,20.6,18.84
1759344589,19.58,18.92,19.28,20.6,18.83
1759344599,19.57,18.91,19.27,20.59,18.82
1759344609,19.57,18.89,19.26,20.59,18.82
1759344619,19.57,18.92,19.27,20.59,18.83
1759344629,19.57,18.94,19.27,20.59,18.83
1759344639,19.56,18.93,19.27,20.58,18.82
1759344649,19.57,18.95,19.29,20.59,18.84
1759344659,19.57,18.98,19.29,20.58,18.84
1759344669,19.57,19.07,19.31,20.58,18.86
1759344679,19.59,19.17,19.35,20.59,18.9
1759344689,19.6,19.27,19.39,20.59,18.93
1759344699,19.61,19.37,19.43,20.58,18.97
1759344709,19.62,19.45,19.46,20.58,19
1759344719,19.64,19.53,19.5,20.58,19.03
1759344729,19.65,19.59,19.53,20.59,19.06
1759344739,19.66,19.64,19.55,20.58,19.08
