Time,Ch1,Ch2,Ch3,Ch4
1759186844,21.19,21.14,21.37,21.91
1759186854,21.19,21.17,21.38,21.91
1759186864,21.2,21.2,21.4,21.91
1759186874,21.2,21.24,21.41,21.91
1759186884,21.2,21.26,21.41,21.9
1759186894,21.21,21.27,21.43,21.9
1759186904,21.21,21.31,21.44,21.91
1759186914,21.22,21.32,21.45,21.91
1759186924,21.22,21.33,21.45,21.91
1759186934,21.22,21.34,21.45,21.9
1759186944,21.21,21.31,21.44,21.9
1759186954,21.21,21.22,21.42,21.89
1759186964,21.21,21.14,21.38,21.9
1759186974,21.2,21.07,21.35,21.9
1759186984,21.19,21,21.31,21.9
1759186994,21.18,20.95,21.29,21.9
1759187004,21.18,20.88,21.27,21.9
1759187014,21.17,20.82,21.23,21.9
1759187024,21.17,20.74,21.19,21.9
1759187034,21.16,20.73,21.17,21.91
1759187044,21.15,20.7,21.15,21.9
1759187054,21.15,20.71,21.14,21.91
1759187064,21.14,20.78,21.15,21.9
1759187074,21.15,20.84,21.18,21.9
1759187084,21.15,20.91,21.2,21.89
1759187094,21.16,20.96,21.22,21.89
1759187104,21.17,21.02,21.25,21.89
1759187114,21.17,21.06,21.26,21.88
1759187124,21.18,21.09,21.29,21.88
1759187134,21.19,21.14,21.31,21.88
1759187144,21.19,21.16,21.31,21.87
1759187154,21.19,21.17,21.31,21.86
1759187164,21.2,21.2,21.33,21.87
1759187174,21.2,21.23,21.34,21.86
1759187184,21.2,21.23,21.34,21.85
1759187194,21.21,21.24,21.34,21.85
1759187204,21.21,21.22,21.34,21.84
1759187214,21.22,21.16,21.33,21.85
1759187224,21.21,21.06,21.29,21.85
1759187234,21.21,21.04,21.28,21.85
1759187244,21.2,21,21.25,21.85
1759187254,21.2,20.94,21.23,21.84
1759187264,21.19,20.89,21.21,21.85
1759187274,21.19,20.85,21.19,21.84
1759187284,21.18,20.78,21.15,21.84
1759187294,21.18,20.74,21.14,21.84
1759187304,21.17,20.68,21.11,21.83
1759187314,21.16,20.68,21.1,21.83
1759187324,21.15,20.72,21.09,21.83
1759187334,21.15,20.77,21.1,21.82
1759187344,21.15,20.82,21.12,21.82
1759187354,21.16,20.9,21.15,21.82
1759187364,21.16,20.96,21.16,21.81
1759187374,21.17,21.01,21.19,21.8
1759187384,21.18,21.05,21.2,21.8
1759187394,21.19,21.1,21.22,21.8
1759187404,21.2,21.13,21.24,21.8
1759187414,21.21,21.15,21.25,21.8
1759187424,21.21,21.17,21.26,21.79
1759187434,21.21,21.19,21.26,21.79
1759187444,21.21,21.2,21.27,21.78
1759187454,21.21,21.21,21.27,21.77
1759187464,21.22,21.19,21.27,21.77
1759187474,21.22,21.13,21.26,21.77
1759187484,21.2,21.01,21.21,21.76
1759187494,21.2,20.95,21.17,21.76
1759187504,21.18,20.9,21.14,21.74
1759187514,21.18,20.87,21.13,21.75
1759187524,21.18,20.81,21.11,21.75
1759187534,21.17,20.76,21.09,21.75
1759187544,21.16,20.72,21.07,21.74
1759187554,21.16,20.7,21.05,21.74
1759187564,21.15,20.65,21.04,21.74
1759187574,21.14,20.58,21,21.73
1759187584,21.14,20.64,20.99,21.73
1759187594,21.13,20.65,21,21.73
1759187604,21.14,20.73,21.02,21.74
1759187614,21.14,20.79,21.04,21.72
1759187624,21.15,20.86,21.07,21.72
1759187634,21.15,20.92,21.09,21.72
1759187644,21.16,20.98,21.11,21.72
1759187654,21.17,21.01,21.13,21.71
1759187664,21.17,21.04,21.14,21.7
1759187674,21.18,21.07,21.16,21.7
1759187684,21.19,21.1,21.18,21.7
1759187694,21.2,21.12,21.18,21.7
1759187704,21.2,21.13,21.19,21.69
1759187714,21.2,21.15,21.2,21.69
1759187724,21.21,21.16,21.21,21.69
1759187734,21.21,21.12,21.2,21.68
1759187744,21.2,21.04,21.17,21.68
1759187754,21.2,20.93,21.13,21.68
1759187764,21.19,20.89,21.1,21.67
1759187774,21.18,20.85,21.07,21.67
1759187784,21.17,20.84,21.07,21.67
1759187794,21.17,20.8,21.06,21.67
1759187804,21.16,20.76,21.04,21.67
1759187814,21.16,20.74,21.02,21.66
1759187824,21.15,20.69,21.01,21.66
1759187834,21.14,20.62,20.98,21.66
1759187844,21.14,20.62,20.96,21.66
1759187854,21.14,20.65,20.96,21.65
1759187864,21.13,20.71,20.98,21.65
1759187874,21.14,20.77,20.99,21.64
1759187884,21.14,20.82,21.01,21.64
1759187894,21.15,20.87,21.03,21.64
1759187904,21.15,20.94,21.05,21.63
1759187914,21.15,20.98,21.07,21.62
1759187924,21.15,21.01,21.08,21.62
1759187934,21.17,21.04,21.1,21.62
1759187944,21.17,21.06,21.12,21.61
1759187954,21.18,21.07,21.12,21.61
1759187964,21.18,21.09,21.13,21.62
1759187974,21.19,21.11,21.14,21.61
1759187984,21.19,21.12,21.14,21.61
1759187994,21.19,21.11,21.14,21.61
1759188004,21.2,21.03,21.13,21.61
1759188014,21.2,20.93,21.1,21.62
1759188024,21.19,20.85,21.06,21.61
1759188034,21.18,20.81,21.03,21.61
1759188044,21.16,20.79,21.02,21.6
1759188054,21.16,20.78,21,21.6
1759188064,21.15,20.74,20.99,21.6
1759188074,21.15,20.69,20.97,21.59
1759188084,21.14,20.64,20.95,21.59
1759188094,21.13,20.6,20.93,21.59
1759188104,21.12,20.58,20.91,21.59
1759188114,21.12,20.58,20.9,21.59
1759188124,21.12,20.61,20.9,21.59
1759188134,21.12,20.66,20.92,21.58
1759188144,21.12,20.72,20.94,21.58
1759188154,21.12,20.77,20.96,21.57
1759188164,21.12,20.81,20.97,21.57
1759188174,21.14,20.87,20.99,21.57
1759188184,21.15,20.92,21.02,21.57
1759188194,21.14,20.95,21.03,21.56
1759188204,21.15,20.99,21.05,21.56
1759188214,21.17,21.02,21.07,21.57
1759188224,21.17,21.05,21.08,21.57
1759188234,21.17,21.05,21.09,21.56
1759188244,21.17,21.05,21.09,21.56
1759188254,21.18,21.05,21.09,21.56
1759188264,21.18,21,21.08,21.56
1759188274,21.17,20.91,21.05,21.55
1759188284,21.17,20.8,21.01,21.55
1759188294,21.16,20.78,20.99,21.55
1759188304,21.15,20.74,20.97,21.54
1759188314,21.14,20.7,20.94,21.54
1759188324,21.13,20.63,20.91,21.54
1759188334,21.12,20.6,20.9,21.54
1759188344,21.12,20.57,20.88,21.54
1759188354,21.11,20.58,20.87,21.54
1759188364,21.12,20.56,20.88,21.55
1759188374,21.11,20.54,20.86,21.55
1759188384,21.11,20.58,20.87,21.55
1759188394,21.11,20.62,20.88,21.55
1759188404,21.11,20.68,20.9,21.54
1759188414,21.12,20.73,20.91,21.54
1759188424,21.13,20.8,20.94,21.54
1759188434,21.13,20.84,20.96,21.54
1759188444,21.13,20.87,20.97,21.53
1759188454,21.14,20.92,20.99,21.53
1759188464,21.14,20.95,21.01,21.53
1759188474,21.15,20.97,21.02,21.53
1759188484,21.15,20.99,21.02,21.52
1759188494,21.16,21,21.04,21.52
1759188504,21.16,21.01,21.03,21.52
