Time,Ch1,Ch2,Ch3,Ch4,Ch5
1759539453,20.81,20.41,20.37,21.52,19.96
1759539463,20.82,20.47,20.4,21.52,19.99
1759539473,20.83,20.54,20.43,21.52,20.01
1759539483,20.84,20.57,20.45,21.51,20.02
1759539493,20.86,20.62,20.48,21.52,20.05
1759539503,20.86,20.66,20.5,21.52,20.06
1759539513,20.86,20.69,20.51,21.51,20.06
1759539523,20.87,20.72,20.52,21.51,20.07
1759539533,20.88,20.75,20.54,21.52,20.09
1759539543,20.88,20.78,20.55,21.52,20.09
1759539553,20.89,20.81,20.57,21.51,20.1
1759539563,20.88,20.87,20.58,21.51,20.12
1759539573,20.89,20.95,20.61,21.52,20.14
1759539583,20.9,20.98,20.63,21.52,20.15
1759539593,20.91,20.98,20.65,21.52,20.16
1759539603,20.92,21.04,20.66,21.52,20.15
1759539613,20.92,21.09,20.68,21.53,20.15
1759539623,20.92,21.08,20.67,21.53,20.14
1759539633,20.93,21.08,20.67,21.53,20.14
1759539643,20.92,21.09,20.67,21.53,20.13
1759539653,20.93,21.13,20.69,21.54,20.14
1759539663,20.93,21.21,20.69,21.54,20.15
1759539673,20.93,21.27,20.72,21.55,20.16
1759539683,20.93,21.3,20.74,21.56,20.17
1759539693,20.93,21.3,20.74,21.56,20.17
1759539703,20.93,21.29,20.74,21.56,20.17
1759539713,20.93,21.29,20.74,21.57,20.16
1759539723,20.93,21.3,20.75,21.58,20.17
1759539733,20.93,21.31,20.76,21.59,20.18
1759539743,20.93,21.33,20.77,21.6,20.18
1759539753,20.93,21.37,20.78,21.6,20.18
1759539763,20.92,21.4,20.78,21.61,20.18
1759539773,20.93,21.43,20.81,21.62,20.19
1759539783,20.93,21.44,20.82,21.63,20.19
1759539793,20.94,21.46,20.84,21.66,20.2
1759539803,20.94,21.49,20.86,21.67,20.22
1759539813,20.95,21.51,20.87,21.69,20.22
1759539823,20.94,21.52,20.87,21.7,20.21
1759539833,20.94,21.51,20.86,21.71,20.21
1759539843,20.95,21.56,20.89,21.74,20.22
1759539853,20.95,21.6,20.91,21.76,20.24
1759539863,20.96,21.62,20.92,21.79,20.25
1759539873,20.96,21.64,20.93,21.81,20.25
1759539883,20.97,21.66,20.94,21.83,20.26
1759539893,20.97,21.69,20.96,21.86,20.27
1759539903,20.98,21.72,20.98,21.88,20.28
1759539913,20.99,21.75,21,21.91,20.28
1759539923,20.99,21.79,21.01,21.94,20.29
1759539933,20.99,21.84,21.03,21.96,20.3
1759539943,21,21.84,21.04,21.99,20.3
1759539953,21,21.85,21.04,22,20.3
1759539963,21,21.89,21.06,22.04,20.31
1759539973,21.01,21.9,21.06,22.07,20.31
1759539983,21.02,21.91,21.08,22.11,20.32
1759539993,21.02,21.92,21.1,22.14,20.33
1759540003,21.02,21.94,21.11,22.17,20.34
1759540013,21.03,21.98,21.13,22.21,20.36
1759540023,21.04,22,21.14,22.25,20.36
1759540033,21.04,22.02,21.15,22.29,20.37
1759540043,21.05,22.07,21.16,22.32,20.38
1759540053,21.05,22.11,21.17,22.36,20.38
1759540063,21.06,22.13,21.19,22.4,20.38
1759540073,21.07,22.15,21.21,22.44,20.39
1759540083,21.07,22.16,21.22,22.48,20.4
1759540093,21.07,22.19,21.23,22.51,20.4
1759540103,21.08,22.21,21.24,22.55,20.4
1759540113,21.08,22.24,21.25,22.6,20.41
1759540123,21.09,22.27,21.26,22.64,20.42
1759540133,21.09,22.31,21.28,22.67,20.42
1759540143,21.09,22.33,21.29,22.72,20.43
1759540153,21.1,22.35,21.31,22.76,20.44
1759540163,21.1,22.37,21.32,22.8,20.45
1759540173,21.11,22.39,21.34,22.84,20.45
1759540183,21.11,22.38,21.35,22.88,20.46
1759540193,21.12,22.4,21.37,22.93,20.47
1759540203,21.13,22.44,21.39,22.98,20.48
1759540213,21.13,22.47,21.4,23.02,20.49
1759540223,21.13,22.48,21.41,23.05,20.49
1759540233,21.13,22.52,21.42,23.09,20.5
1759540243,21.13,22.53,21.43,23.13,20.5
1759540253,21.14,22.53,21.44,23.17,20.5
1759540263,21.14,22.54,21.44,23.21,20.51
1759540273,21.14,22.57,21.46,23.25,20.52
1759540283,21.15,22.57,21.47,23.29,20.53
1759540293,21.15,22.59,21.48,23.33,20.54
1759540303,21.15,22.6,21.48,23.36,20.54
1759540313,21.16,22.6,21.49,23.4,20.54
1759540323,21.16,22.61,21.5,23.44,20.55
1759540333,21.16,22.64,21.51,23.48,20.55
1759540343,21.17,22.64,21.53,23.51,20.56
1759540353,21.17,22.64,21.54,23.55,20.57
1759540363,21.17,22.67,21.54,23.58,20.57
1759540373,21.18,22.69,21.55,23.61,20.58
1759540383,21.18,22.71,21.56,23.65,20.58
1759540393,21.18,22.72,21.58,23.68,20.59
