Optical Power Monitor,,,,,,,
6.5.5217.15,,,,,,,
Delimiter Used: , ',',,,,,
,,,,,,,
Start of Measurement , 10/3/2025 17:44:27,,,,,,
Sample Interval , 1 s,,,,,,
, PM100D 14101752, PM100D 250207512,,,,,
Type, PM100D, PM100D,,,,,
Serialnumber, P0009211, P0037408,,,,,
Sensor, S121C, S121C,,,,,
SensorSerialnumber,14101752,250207512,,,,,
Wavelength / Responsivity, 852 nm, 852 nm,,,,,
,,,,,,,
,,,PM100D 14101752, PM100D 14101752, PM100D 250207512, PM100D 250207512, 
Samples ,Date,Time,1752Power (W),1752Temperature (°C),7512Power (W),7512Temperature (°C),
0, 10/3/2025, 17:44:27.144,0.010173,21.76,0.0093504,21.569,
1, 10/3/2025, 17:44:28.450,0.010262,21.754,0.009366,21.569,
2, 10/3/2025, 17:44:29.463,0.010298,21.749,0.0093915,21.57,
3, 10/3/2025, 17:44:30.479,0.010292,21.749,0.0093586,21.57,
4, 10/3/2025, 17:44:31.483,0.010284,21.749,0.0093697,21.57,
5, 10/3/2025, 17:44:32.484,0.010289,21.749,0.009388,21.57,
6, 10/3/2025, 17:44:33.490,0.010281,21.747,0.0094062,21.57,
7, 10/3/2025, 17:44:34.500,0.010275,21.746,0.0093612,21.57,
8, 10/3/2025, 17:44:35.502,0.01026,21.746,0.0093583,21.57,
9, 10/3/2025, 17:44:36.509,0.010281,21.746,0.0094119,21.57,
10, 10/3/2025, 17:44:37.521,0.010271,21.746,0.0093834,21.57,
11, 10/3/2025, 17:44:38.526,0.010299,21.742,0.0093851,21.577,
12, 10/3/2025, 17:44:39.535,0.010283,21.741,0.0093635,21.583,
13, 10/3/2025, 17:44:40.543,0.0103,21.741,0.0093989,21.583,
14, 10/3/2025, 17:44:41.551,0.010294,21.741,0.009362,21.583,
15, 10/3/2025, 17:44:42.560,0.010285,21.741,0.0093586,21.583,
16, 10/3/2025, 17:44:43.564,0.010255,21.74,0.0094012,21.57,
17, 10/3/2025, 17:44:44.570,0.010285,21.74,0.0093524,21.564,
18, 10/3/2025, 17:44:45.580,0.010281,21.74,0.0093767,21.564,
19, 10/3/2025, 17:44:46.583,0.010277,21.74,0.0093799,21.564,
20, 10/3/2025, 17:44:47.592,0.010284,21.738,0.0093868,21.564,
21, 10/3/2025, 17:44:48.594,0.010276,21.73,0.0093824,21.569,
22, 10/3/2025, 17:44:49.606,0.010287,21.73,0.0093824,21.57,
23, 10/3/2025, 17:44:50.610,0.010271,21.73,0.0093864,21.57,
24, 10/3/2025, 17:44:51.615,0.010257,21.73,0.009383,21.57,
25, 10/3/2025, 17:44:52.621,0.010278,21.729,0.009383,21.57,
26, 10/3/2025, 17:44:53.623,0.010266,21.726,0.0093617,21.567,
27, 10/3/2025, 17:44:54.629,0.01026,21.726,0.009398,21.567,
28, 10/3/2025, 17:44:55.632,0.010305,21.726,0.0093522,21.567,
29, 10/3/2025, 17:44:56.640,0.010274,21.726,0.0093912,21.567,
30, 10/3/2025, 17:44:57.642,0.010285,21.726,0.0093607,21.567,
31, 10/3/2025, 17:44:58.648,0.010308,21.726,0.0093832,21.57,
32, 10/3/2025, 17:44:59.653,0.010269,21.726,0.0093989,21.57,
33, 10/3/2025, 17:45:00.658,0.010281,21.726,0.0093612,21.57,
34, 10/3/2025, 17:45:01.661,0.010269,21.726,0.009384,21.57,
35, 10/3/2025, 17:45:02.665,0.01027,21.726,0.0093855,21.57,
36, 10/3/2025, 17:45:03.673,0.010273,21.724,0.0094385,21.599,
37, 10/3/2025, 17:45:04.677,0.010279,21.719,0.0094021,21.6,
38, 10/3/2025, 17:45:05.684,0.010266,21.719,0.0094136,21.6,
39, 10/3/2025, 17:45:06.691,0.010288,21.719,0.0094317,21.6,
40, 10/3/2025, 17:45:07.696,0.010263,21.719,0.0094622,21.657,
41, 10/3/2025, 17:45:08.702,0.010301,21.72,0.0094336,21.868,
42, 10/3/2025, 17:45:09.710,0.010269,21.722,0.0094389,21.868,
43, 10/3/2025, 17:45:10.717,0.010267,21.722,0.0094388,21.868,
44, 10/3/2025, 17:45:11.722,0.010289,21.722,0.009433,21.868,
45, 10/3/2025, 17:45:12.729,0.010287,21.722,0.0094243,22.024,
46, 10/3/2025, 17:45:13.741,0.010312,21.722,0.0094248,22.298,
47, 10/3/2025, 17:45:14.754,0.010288,21.722,0.0094711,22.298,
48, 10/3/2025, 17:45:15.763,0.010283,21.722,0.0094402,22.298,
