track speed,PID setting,direction,pmt delay,time fit 1,sigma 1,time fit 2,sigma 2,time fit 3,sigma 3,time fit 4,sigma 4,time fit 5,sigma 5,time fit 6,sigma 6,time fit 7,sigma 7,time fit 8,sigma 8,time fit 9,sigma 9,time fit 10,sigma 10
105,200,up,74,148.8,4.23,148.2,4.16,148.3,4.28,149,4.22,147.7,4.36,148.7,4.26,148.6,4.16,148.2,4.27,148.5,4.24,147.6,4.22
105,200,down,302,333.5,6.69,335.3,6.85,337.6,6.28,334.1,6.6,334.7,6.71,336.6,6.6,334.5,6.67,334,6.71,335.5,6.89,334.4,6.49
110,200,up,59,133,3.23,133.3,3.23,133.1,3.23,132.6,3.16,132.5,3.28,132.3,3.23,133.2,3.18,132.7,3.35,133,3.18,132.8,3.17
110,200,down,302,372.8,5.94,371.9,5.75,372.2,5.75,371.2,5.83,372.2,5.93,371.8,5.7,374,5.56,372.6,5.77,372.8,5.74,372.6,6.63
120,200,up,39,112.6,2.38,112.7,2.23,112,2.34,112.1,2.32,111.9,2.36,112.5,2.31,112.7,2.24,112.7,2.27,112.8,2.34,113.5,1.92
120,200,down,39,439,5.07,439,4.5,439.1,4.73,437.9,5.03,438,4.92,439.9,4.83,439.3,5.05,439.7,4.98,438,4.82,436.2,4.91
130,200,up,26,99.01,2.01,98.65,1.98,98.5,2.13,98.6,2.03,98.8,1.99,98.8,2.04,98.9,2.08,98.8,1.91,98.5,2.05,99.1,1.99
130,200,down,428,497.5,4.68,498.5,4.75,498.1,4.69,499.2,4.56,498.4,4.74,498.7,4.66,498.4,4.71,498.4,4.81,498.5,4.67,499.5,4.79
140,200,up,16,88.2,1.85,88.5,1.08,88.1,1.87,88.4,1.68,88.4,1.84,88.6,1.77,88.3,1.79,88.5,1.87,88.1,1.72,88.3,1.73
140,200,down,484,555,4.4,554.6,4.44,555.3,4.37,554.4,4.46,556,4.29,555.4,4.6,556.3,4.22,555.3,4.3,555.2,4.36,555.9,4.25
150,200,up,8.1,80.6,1.48,80.5,1.55,80.5,1.46,80.3,1.49,80.7,1.37,80.5,1.49,80.4,1.38,80.7,1.31,80.3,1.43,80.3,1.47
150,200,down,538,609.3,4.26,609.6,4.31,608.5,3.97,608.8,4.36,608.6,4.02,608.6,4.46,608.4,3.89,608.4,4.43,608.2,4.03,609.5,4.14
160,200,up,1.7,73.4,1.36,73.8,1.14,73.7,1.3,73.3,1.32,73.6,1.27,73.8,1.22,73.3,1.18,73.6,1.24,73.2,1.39,73.7,1.33
160,200,down,590,663.6,4.01,663.2,4.24,662.4,4.37,663.5,4.33,663.5,4.32,662.8,4.15,663,4.59,661.1,4.55,662.2,4.18,662.9,4.33
170,200,up,0,67.9,1.31,67.6,1.32,67.6,1.32,67.7,1.3,67.89,1.3,68.1,1.31,67.8,1.21,67.9,1.26,68,1.34,68,1.28
170,200,down,642,714.8,4.3,714.5,4.31,714.4,4.35,714.4,4.23,714.3,4.27,714.3,4.27,714.8,4.22,713.4,4.59,713.7,4.34,713.7,4.32
175,200,up,0,65.2,1.02,65.4,1.02,65.6,1.03,65.6,1.03,65.3,1.05,65.1,1.06,65.4,1.02,65.5,1.05,65.4,0.95,65.7,0.99
175,200,down,667,737.7,3.98,738.3,3.87,738.4,4.73,738.4,4.36,738.5,4.57,738.5,4.03,738.7,4.18,737.9,4.4,737.9,4.15,737.9,4.26
200,200,up,0,54.9,0.89,55,0.9,54.9,0.91,55,0.91,55.1,0.9,55,0.9,55.4,0.88,55.4,0.89,55,0.98,55.5,0.89
220,200,up,0,48.9,0.83,49,0.084,49.2,0.86,49.5,0.81,49.6,0.89,49.3,0.87,49,0.88,48.9,0.88,49.2,0.9,49,0.82
240,200,up,0,44.3,0.82,44,0.78,44,0.83,44.2,0.88,43.9,0.93,44,0.89,44,0.85,44.3,0.88,44.1,0.87,43.9,0.86
260,200,up,0,43.7,1.28,42.5,0.89,42.2,2.14,45.5,0.94,43.6,1.27,42.7,1.19,43.2,1.31,43,1.53,43,1.16,44.5,1.26
260,300,up,0,39.9,0.72,40.3,0.75,40.3,0.68,40,0.7,40.16,0.7,40.4,0.69,40.3,0.73,40.3,0.71,40.2,0.74,40.4,0.74
280,300,up,0,36.6,0.66,36.6,0.68,36.7,0.68,36.8,0.74,36.9,0.7,36.7,0.71,36.7,0.72,37,0.74,37,0.67,36.7,0.75
300,300,up,0,341,0.68,34,0.67,34.2,0.7,34.1,0.6,33.8,0.67,34.2,0.67,34.1,0.61,33.9,0.63,33.8,0.62,33.8,0.6
325,200,up,0,30.8,0.57,30.8,0.56,30.7,0.59,30.7,0.559,30.95,0.661,31.09,0.585,30.9,5.46,30.48,0.553,30.85,0.569,30.88,0.556
350,200,up,0,,,,,,,,,,,,,,,,,,,,
