track speed,PID setting,direction,pmt delay,time fit 1,sigma 1,time fit 2,sigma 2,time fit 3,sigma 3,time fit 4,sigma 4,time fit 5,sigma 5,time fit 6,sigma 6,time fit 7,sigma 7,time fit 8,sigma 8,time fit 9,sigma 9,time fit 10,sigma 10
105.0,200,up,80,153.97,4.42,154.65,4.55,155.06,3.59,154.48,4.48,154.52,4.17,153.77,3.73,154.52,4.37,154.38,4.01,154.44,3.72,154.73,3.53
110.0,200,up,63,137.42,2.86,137.42,3.07,138.04,3.13,138.48,2.78,137.77,3.09,138.15,3.0,138.04,2.81,137.68,2.69,138.31,2.52,137.37,3.41
120.0,200,up,42,116.44,1.69,117.44,1.5,116.51,1.63,116.3,1.57,116.69,1.29,116.25,1.6,115.97,1.7,116.55,1.64,117.08,1.83,116.43,1.62
130.0,200,up,28,102.61,1.28,102.83,1.26,102.23,1.36,102.47,1.16,102.54,1.66,101.83,1.16,102.45,1.34,102.18,1.2,103.04,1.22,102.39,1.2
140.0,200,up,17,92.25,1.01,92.79,1.06,92.56,1.13,92.08,1.03,92.06,1.14,92.33,1.06,92.39,0.97,92.31,1.11,91.97,1.05,92.43,1.03
150.0,200,up,9,84.08,0.87,83.36,0.87,84.18,0.96,83.7,0.83,83.68,0.86,84.16,0.8,83.45,0.89,83.28,0.75,83.31,0.92,83.94,0.98
160.0,200,up,2,77.37,0.69,77.56,0.73,77.28,0.83,77.01,0.76,77.25,0.81,76.65,0.7,77.3,0.73,77.11,0.82,77.23,0.67,76.65,0.73
170.0,200,up,0,72.18,0.6,71.27,0.79,71.1,0.65,71.57,0.68,71.32,0.75,71.1,0.78,71.18,0.77,71.28,0.85,71.73,0.67,71.87,0.71
175.0,200,up,0,68.2,0.7,69.27,0.7,68.46,0.68,69.24,0.71,68.84,0.6,68.42,0.63,69.72,0.7,68.83,0.59,69.7,0.76,69.0,0.56
200.0,200,up,0,59.68,0.53,58.41,0.59,59.19,0.53,58.5,0.66,59.12,0.55,58.71,0.53,58.82,0.6,59.66,0.64,59.13,0.49,58.88,0.54
220.0,200,up,0,52.52,0.54,53.16,0.54,52.65,0.5,52.63,0.64,53.43,0.52,52.57,0.51,53.4,0.62,53.25,0.61,53.54,0.68,52.84,0.52
240.0,200,up,0,47.58,0.49,47.89,0.65,48.61,0.46,48.34,0.48,48.3,0.54,48.16,0.49,48.09,0.48,47.64,0.48,48.14,0.56,47.75,0.62
260.0,200,up,0,43.99,0.44,43.92,0.66,44.09,0.52,44.46,0.59,44.48,0.59,43.95,0.51,44.1,0.6,44.17,0.49,44.34,0.57,43.89,0.42
280.0,200,up,0,40.48,0.56,40.86,0.45,41.03,0.54,41.36,0.49,41.13,0.46,40.05,0.53,40.19,0.43,40.46,0.45,40.55,0.5,40.27,0.51
300.0,200,up,0,38.36,0.51,38.13,0.41,37.95,0.47,37.73,0.49,38.01,0.52,38.05,0.58,38.35,0.58,38.45,0.54,38.04,0.46,37.67,0.5
325.0,200,up,0,34.4,0.6,34.56,0.58,34.41,0.55,33.62,0.5,35.34,0.57,35.29,0.5,35.36,0.53,35.02,0.56,34.79,0.43,34.32,0.56
105.0,200,down,255,329.54,8.05,329.49,7.63,329.81,8.54,329.58,7.55,330.16,8.53,329.39,8.04,329.1,8.69,329.52,10.48,329.83,8.12,329.37,8.52
110.0,200,down,295,368.86,7.34,369.27,6.78,369.79,7.83,369.72,7.92,368.78,7.42,369.38,6.06,369.71,6.93,369.73,6.07,369.73,7.69,369.23,7.53
120.0,200,down,362,436.27,6.3,436.26,6.9,437.03,6.13,436.94,6.43,437.98,5.96,436.99,6.83,437.03,6.56,437.01,4.94,437.02,6.34,436.63,7.0
130.0,200,down,422,497.86,6.53,497.52,6.41,497.32,5.99,497.14,6.54,497.24,5.32,496.96,5.91,497.04,5.18,496.76,5.41,497.11,5.55,497.3,5.39
140.0,200,down,479,553.12,5.63,553.66,5.05,553.74,5.98,553.43,6.86,553.75,5.68,553.53,4.59,553.72,5.74,554.01,5.36,554.94,5.66,553.19,5.68
150.0,200,down,533,607.76,5.73,608.12,5.85,608.16,4.82,608.07,5.44,608.97,5.71,608.21,4.68,607.19,5.32,608.3,6.27,608.07,4.37,607.69,5.75
160.0,200,down,586,661.56,5.02,660.82,5.96,660.82,6.57,661.01,4.55,660.85,4.7,660.47,5.71,661.1,4.65,660.26,4.73,660.53,4.87,661.79,5.2
170.0,200,down,638,712.26,5.54,712.97,5.15,712.95,4.39,712.23,5.04,712.86,4.56,713.65,5.53,713.06,5.26,712.49,5.46,712.61,5.98,712.07,5.17
175.0,200,down,663,738.46,4.97,738.26,5.81,738.04,5.89,738.44,4.38,738.38,5.95,738.12,5.27,738.01,4.05,738.36,4.1,738.65,5.44,738.49,6.03
