v_track_mm_s,direction,shot,t_s
105.0,up,0,0.15490363901384951
105.0,up,1,0.15661051782057323
105.0,up,2,0.15489477675705518
105.0,up,3,0.15163220250769513
105.0,up,4,0.15259853342181728
105.0,up,5,0.15422902393717558
105.0,up,6,0.15521564220405853
105.0,up,7,0.153344921884736
105.0,up,8,0.1526986992632711
105.0,up,9,0.15151510314302538
105.0,down,0,0.32482031671630324
105.0,down,1,0.32744321539040183
105.0,down,2,0.3289890955435052
105.0,down,3,0.32938070070284814
105.0,down,4,0.3324742284113704
105.0,down,5,0.3242985668281699
105.0,down,6,0.3273653595083057
105.0,down,7,0.3302354154732001
105.0,down,8,0.33356418305873026
105.0,down,9,0.33508792113329694
110.0,up,0,0.13779963724345487
110.0,up,1,0.13777284251927233
110.0,up,2,0.13943115349251003
110.0,up,3,0.138448387777374
110.0,up,4,0.13834895716688345
110.0,up,5,0.13664078115404116
110.0,up,6,0.13766245947432285
110.0,up,7,0.13712146392635413
110.0,up,8,0.1376121944082595
110.0,up,9,0.13784625305171327
110.0,down,0,0.37502519119293776
110.0,down,1,0.3713684016415108
110.0,down,2,0.367758633662682
110.0,down,3,0.36916492059842526
110.0,down,4,0.3698238757426983
110.0,down,5,0.3699699718303788
110.0,down,6,0.3735216802994729
110.0,down,7,0.3735377168127439
110.0,down,8,0.37410953635354016
110.0,down,9,0.3696680156532196
115.0,up,0,0.12537483084378248
115.0,up,1,0.12534976276805646
115.0,up,2,0.12581309756911394
115.0,up,3,0.1258211387204832
115.0,up,4,0.12395000630900994
115.0,up,5,0.12667912483554034
115.0,up,6,0.12577865784063122
115.0,up,7,0.12565859365935142
115.0,up,8,0.12472857457004892
115.0,up,9,0.12690942722286472
115.0,down,0,0.4009648394578645
115.0,down,1,0.40190945114709925
115.0,down,2,0.40095697082821197
115.0,down,3,0.40636909710362223
115.0,down,4,0.40694543995303506
115.0,down,5,0.4032251177561532
115.0,down,6,0.39916019096784244
115.0,down,7,0.40609072799434953
115.0,down,8,0.4053958616263559
115.0,down,9,0.40579640969961617
120.0,up,0,0.11626943787886813
120.0,up,1,0.11684459139674934
120.0,up,2,0.11592833965599435
120.0,up,3,0.11662462044836625
120.0,up,4,0.11675736332270194
120.0,up,5,0.11569518286551968
120.0,up,6,0.11715134591085233
120.0,up,7,0.11616130731640834
120.0,up,8,0.11777264817360081
120.0,up,9,0.11645716622462197
120.0,down,0,0.43369397906614887
120.0,down,1,0.4404492867829388
120.0,down,2,0.4365583181007399
120.0,down,3,0.44047356274631305
120.0,down,4,0.43561396862954455
120.0,down,5,0.44004090487727304
120.0,down,6,0.43770361361859045
120.0,down,7,0.43898352713315736
120.0,down,8,0.43569063939365243
120.0,down,9,0.4402082595451293
125.0,up,0,0.109297499769378
125.0,up,1,0.1077963953609935
125.0,up,2,0.10732849410842285
125.0,up,3,0.10825334306049343
125.0,up,4,0.10854521520266025
125.0,up,5,0.10916017955995952
125.0,up,6,0.10793884198621924
125.0,up,7,0.1091491323372184
125.0,up,8,0.10839442058601333
125.0,up,9,0.11010682886830858
125.0,down,0,0.4672257433890079
125.0,down,1,0.46596922405396374
125.0,down,2,0.46522548095469346
125.0,down,3,0.46640756467287475
125.0,down,4,0.4685914033891411
125.0,down,5,0.46793495422750825
125.0,down,6,0.4650208274774597
125.0,down,7,0.47314458190700615
125.0,down,8,0.46874762713481644
125.0,down,9,0.4696600818586885
130.0,up,0,0.102417588626573
130.0,up,1,0.10280629146387028
130.0,up,2,0.10294305855351518
130.0,up,3,0.10235125632786611
130.0,up,4,0.10079213684683416
130.0,up,5,0.10325076757679547
130.0,up,6,0.10095054468215252
130.0,up,7,0.10304190686026313
130.0,up,8,0.10255974752126357
130.0,up,9,0.10221457851251663
130.0,down,0,0.4987756775051568
130.0,down,1,0.4999202111357986
130.0,down,2,0.4973746164738037
130.0,down,3,0.49747612538756214
130.0,down,4,0.5012968835195386
130.0,down,5,0.4915809370891804
130.0,down,6,0.49644958062002864
130.0,down,7,0.4990395932681624
130.0,down,8,0.49694904791852124
130.0,down,9,0.49666066079782345
135.0,up,0,0.0972116451588318
135.0,up,1,0.09667644641464256
135.0,up,2,0.09606577097539444
135.0,up,3,0.09625215383699949
135.0,up,4,0.09833665859586126
135.0,up,5,0.09645018485502196
135.0,up,6,0.09657710842205526
135.0,up,7,0.09771421106629548
135.0,up,8,0.09667251198681633
135.0,up,9,0.09554080123659586
135.0,down,0,0.5268909604184978
135.0,down,1,0.5263020923539353
135.0,down,2,0.5222785503939557
135.0,down,3,0.5229670855067031
135.0,down,4,0.5261728100641806
135.0,down,5,0.5253934402157557
135.0,down,6,0.5270371529201955
135.0,down,7,0.5262905930656828
135.0,down,8,0.5313364851164777
135.0,down,9,0.5224538450815256
140.0,up,0,0.09220031540335433
140.0,up,1,0.09050738277690099
140.0,up,2,0.09293441499803996
140.0,up,3,0.0934353959990142
140.0,up,4,0.09134510316034153
140.0,up,5,0.0923661928570029
140.0,up,6,0.09214375565858951
140.0,up,7,0.09065586348112491
140.0,up,8,0.0917383666301255
140.0,up,9,0.0913291311145012
140.0,down,0,0.5553708072486349
140.0,down,1,0.5559102904312074
140.0,down,2,0.5543620039246674
140.0,down,3,0.5500793834101552
140.0,down,4,0.5528371868483272
140.0,down,5,0.5563010315681808
140.0,down,6,0.5476375547426846
140.0,down,7,0.5519475339189469
140.0,down,8,0.5542142222821883
140.0,down,9,0.5521242511631751
145.0,up,0,0.08703198091366031
145.0,up,1,0.08768107172306809
145.0,up,2,0.08758601818527544
145.0,up,3,0.08734759046803973
145.0,up,4,0.08742045434778531
145.0,up,5,0.08798131966387984
145.0,up,6,0.08797100338260172
